title,isForked,repo_links
CreativeCaptions.ai-Language-model-that-can-create-creative-captions,0,https://github.com//ar8372/CreativeCaptions.ai-Language-model-that-can-create-creative-captions
EV-Enrouting,0,https://github.com//ar8372/EV-Enrouting
Framework3,0,https://github.com//ar8372/Framework3
CutMix-Regularization-Strategy-to-Train-Strong-Classifiers-with-Localizable-Features,0,https://github.com//ar8372/CutMix-Regularization-Strategy-to-Train-Strong-Classifiers-with-Localizable-Features
ar8372,0,https://github.com//ar8372/ar8372
Optimization-SteepestDescent-vs-GradientDescent,0,https://github.com//ar8372/Optimization-SteepestDescent-vs-GradientDescent
Image-Feature-extraction-using-Reinforcement-Learning,0,https://github.com//ar8372/Image-Feature-extraction-using-Reinforcement-Learning
N-Armed-Bandit,0,https://github.com//ar8372/N-Armed-Bandit
uninformed_search,0,https://github.com//ar8372/uninformed_search
Bit_Mesra_ML_Hackathon-2nd-place-Soln-,0,https://github.com//ar8372/Bit_Mesra_ML_Hackathon-2nd-place-Soln-
efficientnet,1,https://github.com//benihime91/efficientnet
tez,1,https://github.com//abhishekkrthakur/tez
Framework1,0,https://github.com//ar8372/Framework1
TRINIT_Hum_kuchh_nahi_karenge_ML01,1,https://github.com//Jatin-Goyal-552/TRINIT_Hum_kuchh_nahi_karenge_ML01
Working-With-Different-File-Formats-,0,https://github.com//ar8372/Working-With-Different-File-Formats-
ML_algos_from_scratch,0,https://github.com//ar8372/ML_algos_from_scratch
3DText,0,https://github.com//ar8372/3DText
TPS-Oct-2021,0,https://github.com//ar8372/TPS-Oct-2021
TPS,0,https://github.com//ar8372/TPS
FIRST_AID,0,https://github.com//ar8372/FIRST_AID
Search-Engine,0,https://github.com//ar8372/Search-Engine
COLAME,0,https://github.com//ar8372/COLAME
Cat-vs-Dog-Binary-Classifier,0,https://github.com//ar8372/Cat-vs-Dog-Binary-Classifier
ZIG-ZAC,0,https://github.com//ar8372/ZIG-ZAC
HalloweenNight,0,https://github.com//ar8372/HalloweenNight
Product-Recommender,0,https://github.com//ar8372/Product-Recommender
codes,1,https://github.com//kaggler-tv/codes
